clave,sitio,clvrha,rha,estado,municipio,cuenca,cuerpoagua,tipo,subtipo,periodo,dbo,c_dbo,dqo,c_dqo,sst,c_sst,coli_fec,c_coli_fec,e_coli,c_e_coli,od,c_od,tox_d_48,c_tox_d_48,tox_v_15,c_tox_v_15,semaforo,contaminantes,cumple_dbo,cumple_dqo,cumple_sst,cumple_coli_fec,cumple_e_coli,cumple_enteroc,cumple_od,cumple_tox,grupo
"CARMINA 2","CARMINA 2","VI","RÍO BRAVO","COAHUILA DE ZARAGOZA","ACUÑA","RÍO BRAVO 5","DATO PENDIENTE","LÓTICO","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","1076","Contaminada","41","Contaminada","97.9","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLAGU10M1","INDUSTRIAS DEL INTERIOR, S. DE R.L. DE C.V.","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA AJOJUCAR","DREN AGRICOLA Y SUELO","LÓTICO","DESCARGA","2012-2023","3.21","Buena calidad","78.537599999999998","Contaminada","<25","Excelente","<3","Excelente","<3","Excelente","33.1","Aceptable","<1","No Toxico","20","Toxicidad alta","Rojo","DQO,TOX_L,","","","","","","","","","LOTICO"
"DLAGU20","DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ABAJO)","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","PRESA EL NIÁGARA","RIO CHICALOTE","LÓTICO","RÍO","2012-2023","407","Fuertemente contaminada","767.83999999999992","Fuertemente contaminada","230","Contaminada","241960","Fuertemente contaminada","241960","Fuertemente contaminada","10","Fuertemente contaminada","9.2420000000000009","Toxicidad alta","73.529399999999995","Toxicidad alta","Rojo","DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLAGU21","DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ARRIBA)","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","PRESA EL NIÁGARA","RIO CHICALOTE","LÓTICO","RÍO","2012-2023","145.47499999999999","Fuertemente contaminada","580.4","Fuertemente contaminada","162.5","Contaminada","241960","Fuertemente contaminada","241960","Fuertemente contaminada","<10","Fuertemente contaminada","8.17","Toxicidad alta","62.11","Toxicidad alta","Rojo","DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLAGU22","RIO SAN PEDRO AGUAS ARRIBA DE LA CD DE AGUASCALIENTES","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","PRESA EL NIÁGARA","RÍO SAN PEDRO","LÓTICO","RÍO","2012-2023","40.98","Contaminada","293.05","Fuertemente contaminada","80","Aceptable","24196","Fuertemente contaminada","24196","Fuertemente contaminada","12","Contaminada","4.07","Toxicidad moderada","10.106","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLAGU25","NISSAN MEXICANA, S.A. DE C.V.","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA EL NIÁGARA","ARROYO SAN FRANCISCO Y SUCIO","LÓTICO","DESCARGA","2012-2023","4.0199999999999996","Buena calidad","196.2","Contaminada","60.909100000000002","Buena calidad","<3","Excelente","<3","Excelente","62.9","Buena calidad","1.43","Toxicidad moderada","8.7184000000000008","Toxicidad alta","Rojo","DQO,TOX_L,","","","","","","","","","LOTICO"
"DLAGU26","DESCARGA DE LA CIUDAD DE AGUASCALIENTES","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA EL NIÁGARA","RÍO SAN PEDRO","LÓTICO","DESCARGA","2012-2023","8.09","Aceptable","58.900000000000006","Contaminada","<25","Excelente","4352","Contaminada","1354","Contaminada","63.15","Buena calidad","16.273","Toxicidad alta","15.8","Toxicidad alta","Rojo","DQO,CF,E_COLI,TOX_L,","","","","","","","","","LOTICO"
"DLAGU27","RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA EL NIÁGARA","RIO SAN PEDRO","LÓTICO (HUMEDAL)","RÍO","2012-2023","65.77","Contaminada","199.42","Contaminada","49.284999999999997","Buena calidad","24196","Fuertemente contaminada","24196","Fuertemente contaminada","12","Contaminada","3.82","Toxicidad moderada","7.65","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLAGU27M1","RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA EL NIÁGARA","RIO SAN PEDRO","LÓTICO (HUMEDAL)","RÍO","2012-2023","70.435000000000002","Contaminada","187.48500000000001","Contaminada","44.825000000000003","Buena calidad","133078","Fuertemente contaminada","133078","Fuertemente contaminada","25.4","Contaminada","<1","No Toxico","2.6469999999999998","Toxicidad moderada","Rojo","DBO,DQO,CF,E_COLI,OD%L,","","","","","","","","","LOTICO"
"DLAGU31","PRESA EL NIAGARA CANAL DE RIEGO","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA AJOJUCAR","PRESA EL NIAGARA","LÓTICO","CANAL","2012-2023","18.87","Aceptable","70.004999999999995","Contaminada","25.5","Buena calidad","24196","Fuertemente contaminada","3351.5","Fuertemente contaminada","30.35","Aceptable","1.5","Toxicidad moderada","2.2200000000000002","Toxicidad moderada","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
